region_name,gender_category,year,total_non_regular,probationary,casual,contractual,seasonal,apprentices_learners
ph,,2022,990443,489499,154364,296258,40688,9635
ncr,,2022,375629,195106,25956,147889,6025,653
car,,2022,13943,7604,1592,3860,611,276
region_i,,2022,14283,8599,2326,2705,594,60
region_ii,,2022,9206,3883,1106,3455,700,62
region_iii,,2022,95245,50147,15703,20656,4419,4320
region_iv_a,,2022,112919,55818,28304,25825,2169,802
region_iv_b,,2022,10500,2861,3231,3833,490,85
region_v,,2022,14375,6587,2701,4433,507,147
region_vi,,2022,40361,20619,5672,6893,6902,275
region_vii,,2022,110401,71521,9192,23675,5222,792
region_viii,,2022,14241,4642,2053,6309,1183,55
region_ix,,2022,10439,4069,2949,1598,1795,28
region_x,,2022,40507,19050,9032,11291,415,720
region_xi,,2022,67813,21454,16413,24183,4833,931
region_xii,,2022,33601,11595,18252,2941,780,34
region_xiii,,2022,25611,5724,9668,5806,4020,393
barmm_region,,2022,1368,221,214,908,23,2
